
2025/04/01 (12:18:13) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/04/01 (12:18:13) | WARNING: NVML: Failed to get maximum GPU temperature, defaulting to 110°C: Not Supported
2025/04/01 (12:18:13) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/04/01 (12:18:14) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/04 (15:53:17) | ===> btop++ v.1.4.0
2025/04/04 (15:53:17) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/04/04 (15:53:17) | WARNING: NVML: Failed to get maximum GPU temperature, defaulting to 110°C: Not Supported
2025/04/04 (15:53:17) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/04/04 (15:53:17) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/16 (16:42:38) | ===> btop++ v.1.4.0
2025/04/16 (16:42:38) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/04/16 (16:42:38) | WARNING: NVML: Failed to get maximum GPU temperature, defaulting to 110°C: Not Supported
2025/04/16 (16:42:38) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/04/16 (16:42:38) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/17 (19:23:54) | ===> btop++ v.1.4.0
2025/04/17 (19:23:54) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/04/17 (19:23:54) | WARNING: NVML: Failed to get maximum GPU temperature, defaulting to 110°C: Not Supported
2025/04/17 (19:23:54) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/04/17 (19:23:54) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/18 (15:33:02) | ===> btop++ v.1.4.0
2025/04/18 (15:33:02) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/04/18 (15:33:02) | WARNING: NVML: Failed to get maximum GPU temperature, defaulting to 110°C: Not Supported
2025/04/18 (15:33:02) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/04/18 (15:33:02) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/18 (17:36:17) | ===> btop++ v.1.4.0
2025/04/18 (17:36:17) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/04/18 (17:36:17) | WARNING: NVML: Failed to get maximum GPU temperature, defaulting to 110°C: Not Supported
2025/04/18 (17:36:17) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/04/18 (17:36:17) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/23 (13:50:57) | ===> btop++ v.1.4.0
2025/04/23 (13:50:57) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/04/23 (13:50:57) | WARNING: NVML: Failed to get maximum GPU temperature, defaulting to 110°C: Not Supported
2025/04/23 (13:50:57) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/04/23 (13:50:57) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/28 (14:56:38) | ===> btop++ v.1.4.0
2025/04/28 (14:56:38) | WARNING: Intel GPU: Failed to initialize PMU
